Upside, Downside, Name, Flavour

Level up an additional time. If you level your 5th rank 1 class at some point add 3 *2 draw modifiers, Enemies start with Powerful, Training Montage, You train; but so do your enemies

double status effects caused by players, Enemies have double HP, Alchemists Lab,



enemies rotate backwards , mana rotates backwards, Heretic Influence,

When modifying an attack draw an additonal , -1 to Maximum Handsize, Reckless Teachings,


butter , +1 mana usage on all cards (capped at 5),,

1 time veto rights for a dice roll,  Until then: +1 mana usage on all cards (capped at 5),,

trade cards. Each player must give one card and receive one card, the game will take 30 minutes longer, Jolly Cooperation,
