Upside, Downside, Name, Flavour 
Each player gives one of their cards to the player on their left, You have to play that card in your deck, Fae Rings, A magical haze messes with your memories 
Level up an additional time, Enemies start with Powerful, Training Montage, You train; but so do your enemies 
-3 to Decksize, -1 to Maximum Handsize, Underplanning, You need to hurry 
+1 to Maximum Handsize, +3 to Decksize,  Overplanning, Too much of a good thing... 
Start the game with one Earth and one Water, The rightmost enemy of each player starts with powerful, Rainy day, Soon new life may blossom 
Start the game with two of each Element, Each player starts combat with Stun:1, Tremendous Aura, The readiation overwhelms you 
Each player starts combat with Flurry:1, Each player has starting Life -2, Just one more, Edging out a little more damage 
Start the game with two Metal, At the beginning of Combat each player discards a gold card, Iron Mine, Your lungs aren´t working that well 
Start the game with one Wood and one Fire, The leftmost enemy of each player starts with powerful, Heatwave, You need a vacation 
Use the elemental overlays to swap two elements on the wheel, - , Paradox Haze, The laws of the world contort 
The Wheel of Elements rotates backwards during cleanup, -, Heresy, Your enemies have turned their back on the natural laws
